"BatteryMass","canard_mass","CfgID","ConstraintsTest","CostPerFlight","CruiseSpeed","ENominal","EReserve","fuselage_mass","GUID","hops","hops.1","loiterTime","loiterTime.1","MaxTakeoffMass","MotorMass","payload_mass","prop_mass","Range","RotorRadius","tNominal","toolCostPerVehicle","tReserve","Vehicle","wing_mass","wire_mass"
811.150093725,200,"TestConstraints",0,1049.84968979,31.4990537088,63.9376766147,114.501640314,500,"4160418e-c1e7-4403-91c2-1e7db5784508",2,2,1020,1020,4209.52282793,298.18398837,550,50,129196.312333,5.68481424537,4281.59344873,2000,5481.59344873,0,200,30
670.84758761,200,"TestConstraints",0,489.110183903,39.0519715123,1080.74236473,1341.58070221,500,"f7e69798-25f8-4412-ae19-8c8f8ed52d32",2,2,1020,1020,644.000699187,646.504670875,550,50,191346.156797,5.75752303021,5079.7822488,2000,6279.7822488,1,200,30
697.783135893,200,"TestConstraints",0,277.199741811,58.0866284294,73.7761233358,90.3269891056,500,"eb14ce89-9b52-43cc-8d58-c0d1e782ead7",2,2,1020,1020,2653.30057385,218.0257101,550,50,124520.416301,2.60737462153,2323.70190985,2000,3523.70190985,0,200,30
484.234662813,200,"TestConstraints",0,131.679788617,30.0819285981,307.310495403,1126.36180273,500,"5e840b98-062d-432d-a9dd-bc706c80efd2",2,2,1020,1020,2167.76854891,231.026430321,550,50,13436.8139655,7.81877704428,626.673953155,2000,1826.67395315,1,200,30
306.889482959,200,"TestConstraints",0,145.678968849,50.9920121864,367.959714175,933.716413476,500,"72192367-de92-4417-b712-6cdd9283a316",2,2,1020,1020,3564.95770202,920.98008125,550,50,32529.5439005,7.5966063872,817.934109789,2000,2017.93410979,1,200,30
946.647052173,200,"TestConstraints",0,283.419287767,77.5196203705,687.907281394,943.395879228,500,"0b7caa5a-5274-472b-9818-5718d075e2e8",2,2,1020,1020,2794.12221473,79.7838736636,550,50,133136.25436,6.3713001423,1897.45235236,2000,3097.45235236,1,200,30
557.571383111,200,"TestConstraints",0,182.710421185,50.179699114,275.524240135,440.135284822,500,"bdc2e5ab-baeb-4677-b697-40152e9d9fd4",2,2,1020,1020,8458.35983362,541.235081353,550,50,83105.2247925,3.86981015548,1836.15231378,2000,3036.15231378,1,200,30
558.011622444,200,"TestConstraints",0,1158.60660125,58.8820745816,170.284506135,273.513441618,500,"d52ffc6c-dd2f-4fd7-84a2-3b1311648544",2,2,1020,1020,4558.08406895,984.488638707,550,50,134325.462092,8.49015299532,2461.26238836,2000,3661.26238836,0,200,30
975.801915658,200,"TestConstraints",0,634.069898944,42.9197698978,63.306767977,90.6086271548,500,"6aeaab43-75ef-4a8c-a6d1-0d81224a9594",2,2,1020,1020,1941.28815473,551.964215152,550,50,154753.764706,3.90668088491,3785.65224544,2000,4985.65224544,0,200,30
578.718401449,200,"TestConstraints",0,210.657762267,75.3185255789,651.211886708,1302.88782976,500,"bfc09821-d250-4e9a-aad5-276ded3668ce",2,2,1020,1020,5365.73126465,386.851335936,550,50,48176.5852666,8.71731439452,819.637923025,2000,2019.63792303,1,200,30
46.5350931027,200,"TestConstraints",0,81.6019121726,77.5528495109,258.714197238,511.003555146,500,"df3d86c8-c9da-498d-9ab2-2fcc15381d58",2,2,1020,1020,3591.27483516,134.971913618,550,50,48250.8192748,5.50559969223,802.166942661,2000,2002.16694266,1,200,30
232.223250353,200,"TestConstraints",0,137.833042286,58.7833623808,361.413229901,728.938758668,500,"34e2736a-a295-4837-87b0-de3e741da306",2,2,1020,1020,8377.02132508,693.194733695,550,50,49970.8383524,5.61773708541,1030.08472344,2000,2230.08472344,1,200,30
620.713395829,200,"TestConstraints",0,770.138414426,54.0230043789,3301.8815727,4428.3424145,500,"3985e66a-7bf3-4d81-8a9d-27cdcbef2fa4",2,2,1020,1020,7362.34817711,272.14286721,550,50,152036.55159,9.57514981027,2994.29278764,2000,4194.29278764,1,200,30
423.103308651,200,"TestConstraints",0,181.259751468,36.7082404909,33.72064036,69.5838370689,500,"16355250-4eb7-492d-8e65-1713e42dad8e",2,2,1020,1020,9352.67976869,104.458708241,550,50,25450.7517558,4.37891291026,873.325297412,2000,2073.32529741,0,200,30
575.700425354,200,"TestConstraints",0,128.811063531,43.0654547783,40.0968562516,69.3827381918,500,"e939cfae-eb88-42bb-bc51-a48d1ef5d454",2,2,1020,1020,583.350226661,766.414674365,550,50,62642.9658474,2.55017533067,1634.59896267,2000,2834.59896267,1,200,30
34.8050585946,200,"TestConstraints",0,119.303530011,47.1516832501,26.1621286198,36.5953377666,500,"cda1c6be-f818-4640-b4f8-0287e8306ec1",2,2,1020,1020,480.722697718,613.59975888,550,50,69380.9002636,1.68663738459,1651.44058242,2000,2851.44058242,0,200,30
385.719503703,200,"TestConstraints",0,1044.90456699,34.5820817617,6399.59008564,11029.6040696,500,"e9a2acca-6a6b-40b7-b4c4-b4ba85631769",2,2,1020,1020,5116.66505303,633.096031873,550,50,57118.3851176,8.67996110623,1831.67572939,2000,3031.67572939,1,200,30
697.172731687,200,"TestConstraints",0,194.14565026,78.6524571473,697.708973688,3326.53637913,500,"5d6e9a7d-2562-4b88-b307-3d5aae2b9b24",2,2,1020,1020,6611.91069464,838.562635824,550,50,12396.212642,9.36924421169,337.607442814,2000,1537.60744281,1,200,30
379.84521579,200,"TestConstraints",0,475.730589104,62.3454886151,113.008138499,165.090322281,500,"0bd296ef-9570-422c-a441-2184791403eb",2,2,1020,1020,7591.28207131,581.449763404,550,50,103590.227491,5.69881506829,1841.55129732,2000,3041.55129732,0,200,30
60.5007365454,200,"TestConstraints",0,147.214385381,68.3704325317,295.31433998,394.768936173,500,"b679c9d4-0adf-48c5-a854-5e6813a06e51",2,2,1020,1020,1984.88906312,173.525897904,550,50,150216.992406,5.4923856339,2377.10460858,2000,3577.10460858,1,200,30
244.679326029,200,"TestConstraints",0,109.761344479,65.92827959,272.232087675,394.425166675,500,"8ce4e401-1cf7-4fa3-a902-dbcd8630d05d",2,2,1020,1020,6040.43750817,327.618312802,550,50,81307.9827643,0.679007911004,1413.27930396,2000,2613.27930396,1,200,30
709.672683227,200,"TestConstraints",0,94.4270888921,35.3876542667,29.6188283085,123.638085987,500,"5bc88d0b-850f-4977-ad24-c9a80783c6d7",2,2,1020,1020,6320.33864299,354.914272924,550,50,10409.1011681,3.91695727304,474.144988804,2000,1674.1449888,1,200,30
682.408348396,200,"TestConstraints",0,325.358546092,75.4693391597,114.181831721,155.751239733,500,"62741553-7555-4f43-a07a-e7b8cebb8aff",2,2,1020,1020,6835.74274095,489.261957412,550,50,84066.5335592,4.96478579893,1293.91638638,2000,2493.91638638,0,200,30
433.827555984,200,"TestConstraints",0,195.994279318,45.4462449884,32.1858949374,55.0134045667,500,"09c0b71e-f32d-452c-9000-2c250fc8e6ec",2,2,1020,1020,3083.50529519,309.890027476,550,50,51460.1331937,3.39205552648,1312.32970528,2000,2512.32970528,0,200,30
876.711343093,200,"TestConstraints",0,247.753300803,56.3873568378,204.928562353,274.233085833,500,"6700f0be-fd88-4df9-ac19-d795c22ef2e0",2,2,1020,1020,7274.31834716,786.382721402,550,50,145663.164779,2.28711794131,2763.25931464,2000,3963.25931464,1,200,30
950.854815298,200,"TestConstraints",0,182.877340089,65.935604365,63.2819244728,71.3358110232,500,"cb3d5acf-6e51-4031-85d3-c40772616374",2,2,1020,1020,597.657538047,132.396763074,550,50,98011.365972,0.979644634874,1666.47103361,2000,2866.47103361,0,200,30
614.177684357,200,"TestConstraints",0,725.941093406,66.8104616356,158.357965025,207.619181851,500,"5ef82be3-9cfb-4df6-9a23-280a0efe1ad2",2,2,1020,1020,978.009784196,681.009526196,550,50,177007.218168,5.6627717092,2829.39373019,2000,4029.39373019,0,200,30
330.486322324,200,"TestConstraints",0,148.975341694,73.3436251951,177.661230135,227.706731072,500,"531af235-a689-4e1c-946f-a2cbd438617a",2,2,1020,1020,9623.90111334,117.693055142,550,50,140653.657637,0.510034104381,2097.7352805,2000,3297.7352805,0,200,30
640.584561424,200,"TestConstraints",0,1121.5762226,55.8536442359,155.435790574,227.71790948,500,"458cd0b7-3369-4311-8dd2-c89c916cdd4f",2,2,1020,1020,6643.03772072,817.820900211,550,50,173806.837951,6.9394155736,3291.82627971,2000,4491.82627971,0,200,30
949.724586982,200,"TestConstraints",0,655.955560026,35.065217336,50.5173818576,78.152637865,500,"01fb6140-c3a3-4743-92bc-d9c990500d0b",2,2,1020,1020,6643.76641548,449.446041256,550,50,141433.740472,3.72066254919,4213.44827772,2000,5413.44827772,0,200,30
28.3711384893,200,"TestConstraints",0,109.257253551,31.1472485983,252.443600732,589.769501962,500,"474143be-80a9-4285-9efe-1b1d378d4a59",2,2,1020,1020,3600.73096982,369.36576095,550,50,28106.0479306,7.25477685837,1082.3605357,2000,2282.3605357,1,200,30
338.285323014,200,"TestConstraints",0,136.860728315,68.9595990418,169.846726485,217.177004548,500,"357ae295-ceba-4a6e-8799-91bafe96debe",2,2,1020,1020,6629.92232489,355.234494957,550,50,142465.378998,1.7551175654,2245.92528057,2000,3445.92528057,1,200,30
390.956079524,200,"TestConstraints",0,766.052525952,41.2171779469,73.2878912407,110.789163656,500,"43a7ab72-abc0-403b-8894-8862dcd3ceda",2,2,1020,1020,3144.26316366,486.129021011,550,50,162653.736791,4.76285004183,4126.26087698,2000,5326.26087698,0,200,30
268.628689089,200,"TestConstraints",0,139.269197761,60.4139578286,49.8609953229,64.8670830747,500,"d09d3bff-e8dd-4db8-bbf0-9d1d59041c8a",2,2,1020,1020,5900.53667646,965.549130941,550,50,71057.7294409,1.71839408768,1356.18067074,2000,2556.18067074,0,200,30
661.342163722,200,"TestConstraints",0,226.632875028,61.6826356028,85.317740959,101.318645095,500,"ca4a5275-8148-49a4-98b5-960f5ba9b218",2,2,1020,1020,6600.17735569,449.047615156,550,50,120461.380009,1.80230168764,2132.92206359,2000,3332.92206359,0,200,30
34.9158516471,200,"TestConstraints",0,579.645931296,45.7420040902,91.8367219568,118.713047217,500,"e9c5fd4a-5371-4d16-928b-315994ac51c1",2,2,1020,1020,7535.53711706,725.864234152,550,50,199640.680287,3.57782224669,4544.49351659,2000,5744.49351659,0,200,30
590.875827911,200,"TestConstraints",0,271.280525589,70.101803336,174.211523929,192.36759454,500,"76e7f70e-9d94-4d82-bdf2-1df8ef6f55f3",2,2,1020,1020,7633.40740047,692.083258054,550,50,192775.237178,1.28062398302,2929.93264088,2000,4129.93264088,0,200,30
412.383033883,200,"TestConstraints",0,775.168375569,40.4577961651,78.5647241369,114.180492178,500,"bf806b46-793d-4521-9f2d-729921b653f3",2,2,1020,1020,6688.19903204,157.504005738,550,50,181142.290554,4.48276907149,4657.31482494,2000,5857.31482494,0,200,30
907.553496934,200,"TestConstraints",0,168.303183398,79.944768939,179.475319757,238.756746336,500,"408575c3-8c47-4aec-969d-ba7532d6bf90",2,2,1020,1020,8628.54247905,754.399685148,550,50,79895.1878197,1.99622222005,1179.37980784,2000,2379.37980784,1,200,30
918.663587287,200,"TestConstraints",0,388.990189251,37.2179783316,842.113613353,1252.84043704,500,"2a99725f-8cf1-4b84-b756-d242e167bd27",2,2,1020,1020,707.56020006,155.067658405,550,50,91232.4934682,8.49340508991,2631.30169767,2000,3831.30169767,1,200,30
