BatteryMass,canard_mass,CfgID,CostPerFlight,CruiseSpeed,ENominal,EReserve,fuselage_mass,GUID,hops,hops,loiterTime,loiterTime,MaxTakeoffMass,MotorMass,payload_mass,prop_mass,Range,RotorRadius,tNominal,toolCostPerVehicle,tReserve,Vehicle,wing_mass,wire_mass
343.465009381,1000.0,TestOperatingCost,168.511105853,74.1250194998,222.605647676,298.033513719,1000.0,80faf8c6-835a-40f7-bb6e-5dceb3eabe07,2.0,2.0,1020.0,1020.0,3317.43231876,938.966278992,550.0,50.0,128138.064098,2.75214093794,1908.67494622,2000.0,3108.67494622,1.0,1000.0,250.0
594.803588914,1000.0,TestOperatingCost,898.458371767,33.7185903201,73.8636128658,140.263454969,1000.0,5bf7ba27-bf76-450f-ace1-8f0ecf927e88,2.0,2.0,1020.0,1020.0,3483.1127543,151.010374548,550.0,50.0,81893.7288039,6.66981096653,2608.74117887,2000.0,3808.74117887,0.0,1000.0,250.0
611.435280149,1000.0,TestOperatingCost,210.424068035,72.0737163149,73.231532526,95.3278183954,1000.0,a01f7abf-0512-4174-a5ea-89afd24832d6,2.0,2.0,1020.0,1020.0,9886.27164302,616.38386627,550.0,50.0,64734.3230957,2.59428991241,1078.16824226,2000.0,2278.16824226,0.0,1000.0,250.0
113.432084505,1000.0,TestOperatingCost,103.472101079,71.5731382553,123.97581421,234.697799982,1000.0,92fd9ad7-8bef-440e-ab10-1ec4146a9981,2.0,2.0,1020.0,1020.0,879.125649272,264.975926908,550.0,50.0,71525.0959846,6.57981349901,1179.32876674,2000.0,2379.32876674,1.0,1000.0,250.0
550.32531022,1000.0,TestOperatingCost,1729.03856802,56.2037275262,193.820455389,318.678280117,1000.0,1dd0ba53-2f60-4c52-b5aa-d95e4aaef9ce,2.0,2.0,1020.0,1020.0,2738.37827438,764.752218866,550.0,50.0,157157.527417,9.42203906742,2976.21182321,2000.0,4176.21182321,0.0,1000.0,250.0
490.225673926,1000.0,TestOperatingCost,2040.48206206,30.5725541587,94.8253148522,170.880252306,1000.0,1c74a795-07ec-40c6-9430-044228b39e8c,2.0,2.0,1020.0,1020.0,6112.20701521,138.465649596,550.0,50.0,166520.563226,7.15246099625,5626.73377178,2000.0,6826.73377178,0.0,1000.0,250.0
350.517732633,1000.0,TestOperatingCost,160.582018313,69.0879198967,55.5282258428,65.5051831082,1000.0,8ca92688-41c5-4f21-a64b-992739234995,2.0,2.0,1020.0,1020.0,1055.45330309,867.918421278,550.0,50.0,161947.692815,1.19253127667,2524.08118028,2000.0,3724.08118028,1.0,1000.0,250.0
241.970047516,1000.0,TestOperatingCost,155.342594101,43.018710095,24.5954059923,45.1269986723,1000.0,0edf2d53-5e26-41a4-84ec-f42fe79621f6,2.0,2.0,1020.0,1020.0,9880.5348268,982.45442667,550.0,50.0,38599.029355,1.82755234361,1077.26143043,2000.0,2277.26143043,0.0,1000.0,250.0
242.987429402,1000.0,TestOperatingCost,260.577609551,79.1934540581,130.68397061,146.004763732,1000.0,090ddcfe-6204-4e5b-9eb1-52e82150607e,2.0,2.0,1020.0,1020.0,573.578327237,206.277338662,550.0,50.0,134075.381126,2.55463185841,1873.01090249,2000.0,3073.01090249,0.0,1000.0,250.0
400.000024286,1000.0,TestOperatingCost,295.879327443,37.8375967794,113.795548338,232.546974983,1000.0,29784795-b80b-4265-a5e7-14503ca67863,2.0,2.0,1020.0,1020.0,4488.24874172,690.480869433,550.0,50.0,10211.4550662,9.15541969931,449.875888939,2000.0,1649.87588894,0.0,1000.0,250.0
345.587989659,1000.0,TestOperatingCost,2564.57927743,30.7498122727,125.446497535,232.500659107,1000.0,886e1c59-8950-4e7e-8ce2-924f5109fc1b,2.0,2.0,1020.0,1020.0,8695.32493023,880.310645954,550.0,50.0,155051.042363,8.60225175343,5222.34110402,2000.0,6422.34110402,0.0,1000.0,250.0
