CfgID,CruiseSpeed,ENominal,EReserve,GUID,MaxTakeoffMass,Range,RotorRadius,tNominal,tReserve,Vehicle
TestMissions,55.4601514269,175.239452154,298.240869973,f1ea97ef-f9a0-4acc-b283-d795b44ec2ac,827.974777497,131154.725204,9.36504468118,2544.84614321,3744.84614321,0.0
TestMissions,37.4243410743,57.0374774277,92.6346004486,97c14d84-fd7c-4a10-a665-45261d05acf4,8008.97082679,117426.655873,4.42202813165,3317.7080398,4517.7080398,0.0
TestMissions,75.5465132061,160.408369474,176.360837906,80efca77-31cb-45b7-bce2-bb43f60fdcfa,5503.39437375,163159.480498,2.14749984012,2339.72218403,3539.72218403,0.0
TestMissions,44.1530681832,143.137920743,247.1814832,e5e37b57-9102-4774-853a-a791daa7751b,2841.00317534,154082.461742,8.54692105382,3669.73396601,4869.73396601,0.0
TestMissions,33.6308484351,2770.5650176,3601.68035855,94abaaa3-98f8-41cc-a7aa-15eebf545700,6578.55730665,136898.199331,8.30291317517,4250.61390662,5450.61390662,1.0
TestMissions,31.5281153625,951.065556877,1488.11645923,992159a2-6fa4-4a47-b31c-18ebae4b6c7c,9918.24156274,68683.1294354,6.52684863907,2358.47240933,3558.47240933,1.0
TestMissions,76.3470313436,193.840131757,213.180550088,da30514d-9792-4d28-bce7-cba6804ca0fc,8826.63153664,178051.210042,1.5460950925,2512.13010262,3712.13010262,0.0
TestMissions,74.4293893969,241.805276933,349.834186234,b0ab75b2-7bb2-41fa-95de-ada2b02543a9,7748.73470511,98745.6965172,6.18856238735,1506.70303112,2706.70303112,1.0
TestMissions,51.8519762011,123.098623964,246.615306133,15e977f5-73a9-45d9-80d8-8f58190fddb6,1461.93956289,15912.5583299,9.38026811336,486.884317546,1686.88431755,0.0
TestMissions,51.5082665246,5350.47893372,6771.96264843,6df9e8d4-8ca4-49f9-9b8b-785970e8185d,9928.50189391,193076.273592,9.26437278356,3928.45217321,5128.45217321,1.0
TestMissions,40.5092969654,54.1653324852,72.3307014952,3383dfa3-0f6e-4d3c-a348-86d3a4828d0c,6292.63728904,152355.331102,2.46914715172,3940.99667276,5140.99667276,0.0
TestMissions,69.4401865259,272.930507894,375.223238098,f0aabca0-a8ff-4420-93b9-ff71c94db253,3143.99292451,127350.269349,5.23229166987,2013.95632587,3213.95632587,1.0
TestMissions,54.0221626296,256.919549343,347.510083376,150b96fb-aa9b-4b0f-9277-85c8915969be,6260.93873152,141474.969783,4.16570794361,2798.83202923,3998.83202923,1.0
TestMissions,40.2016647701,56.1894163251,78.3722454423,87bce729-14e1-4a7c-b3b3-15cb853c2e91,9856.78389791,132509.31062,2.62045429861,3476.11500861,4676.11500861,0.0
