"alum_rho","alum_stress","BatteryMass","bid_bearing","bid_minThk","bid_rho","bid_shear","bid_stress","canard_mass","canopy_rho","canopy_thk","CfgID","ConstraintsTest","core_minThk","core_rho","CostPerFlight","CruiseSpeed","ENominal","EReserve","fc","fuselage_mass","fuselageHeight","fuselageLength","glue_rho","glue_thk","GUID","hops","hops.1","loiterTime","loiterTime.1","MaxTakeoffMass","MotorMass","paint_rho","paint_thk","PartsPerTool","payload_mass","prop_mass","Range","rib_thk","rib_width","RotorRadius","steel_shear","tNominal","tReserve","uni_rho","uni_stress","Vehicle","winglet"
2800,3.5e+08,765.678132391,4e+08,0.00042,1660,4.7e+07,2.75e+08,200,1180,0.003175,"TestWingMass",0,0.0064,52,113.623981326,65.6441929326,21.8587624295,34.857000076,0.4,500,1.65,5,1800,0.000254,"cadc13a3-4ddc-4191-ada0-cc277c5e8962",2,2,1020,1020,4367.37816396,636.252314906,1800,0.00015,1000,550,50,24457.3376191,0.0015,0.0254,1.59347718768,5e+08,552.574275446,29.2673116234,1660,4.5e+08,0,0.2
2800,3.5e+08,360.184636765,4e+08,0.00042,1660,4.7e+07,2.75e+08,200,1180,0.003175,"TestWingMass",1,0.0064,52,1404.60474265,50.6359235944,156.527747843,258.540877487,0.4,500,1.65,5,1800,0.000254,"c7c9cb64-c4f8-4311-8ad4-d1777c363710",2,2,1020,1020,7240.40788585,578.610767551,1800,0.00015,1000,550,50,143075.824705,0.0015,0.0254,8.399037345,5e+08,3005.57944141,1693.97148145,1660,4.5e+08,0,0.2
2800,3.5e+08,679.374563556,4e+08,0.00042,1660,4.7e+07,2.75e+08,200,1180,0.003175,"TestWingMass",0,0.0064,52,81.3337614515,68.2734892713,15.2935341948,44.1210660848,0.4,500,1.65,5,1800,0.000254,"37e0f76e-48ba-4b1b-9da6-241e5b84f277",2,2,1020,1020,7386.24148535,75.2865034886,1800,0.00015,1000,550,50,11400.8835308,0.0015,0.0254,2.92144539546,5e+08,346.988440938,1744.13849556,1660,4.5e+08,1,0.2
2800,3.5e+08,301.318330222,4e+08,0.00042,1660,4.7e+07,2.75e+08,200,1180,0.003175,"TestWingMass",0,0.0064,52,165.759201177,74.6643026011,117.645124746,178.702619811,0.4,500,1.65,5,1800,0.000254,"3acc7c8f-bff5-4dd3-ab4f-43e0ab080ef6",2,2,1020,1020,1518.48753339,977.617792049,1800,0.00015,1000,550,50,96771.6637497,0.0015,0.0254,8.13448779121,5e+08,1476.09010435,495.078605196,1660,4.5e+08,1,0.2
2800,3.5e+08,784.866706423,4e+08,0.00042,1660,4.7e+07,2.75e+08,200,1180,0.003175,"TestWingMass",0,0.0064,52,298.32013957,57.2540383786,78.0385562805,101.194903965,0.4,500,1.65,5,1800,0.000254,"a5e03dcd-36ea-49aa-8201-1e3f40de2f68",2,2,1020,1020,7543.87617111,38.6499479877,1800,0.00015,1000,550,50,111687.733257,0.0015,0.0254,3.11257459461,5e+08,2130.73983286,120.986291134,1660,4.5e+08,0,0.2
2800,3.5e+08,290.999788955,4e+08,0.00042,1660,4.7e+07,2.75e+08,200,1180,0.003175,"TestWingMass",0,0.0064,52,93.5574461709,39.5776982024,63.4899205249,224.346877971,0.4,500,1.65,5,1800,0.000254,"e1a2898a-2f5f-45d4-bf7b-4d9a7f0993c0",2,2,1020,1020,9846.05334342,745.284720974,1800,0.00015,1000,550,50,12594.4039485,0.0015,0.0254,9.84910185591,5e+08,498.219717682,2455.04310167,1660,4.5e+08,1,0.2
2800,3.5e+08,777.000565,4e+08,0.00042,1660,4.7e+07,2.75e+08,200,1180,0.003175,"TestWingMass",0,0.0064,52,99.146753603,67.7386547796,12.8530258311,24.9800537168,0.4,500,1.65,5,1800,0.000254,"bfffc6e1-cf43-490e-a44c-3b6afee7082a",2,2,1020,1020,2645.85227478,781.450622245,1800,0.00015,1000,550,50,24406.6269867,0.0015,0.0254,1.70697781071,5e+08,540.305752545,59.8816946856,1660,4.5e+08,1,0.2
2800,3.5e+08,959.599402975,4e+08,0.00042,1660,4.7e+07,2.75e+08,200,1180,0.003175,"TestWingMass",0,0.0064,52,777.203961108,41.2504305443,70.8457816738,107.463481449,0.4,500,1.65,5,1800,0.000254,"5f3e0497-c7fe-4d7a-94ba-60a0a309538d",2,2,1020,1020,6143.49236504,909.95508991,1800,0.00015,1000,550,50,146481.175655,0.0015,0.0254,4.59037769607,5e+08,3731.02174019,309.362676068,1660,4.5e+08,0,0.2
2800,3.5e+08,348.289600173,4e+08,0.00042,1660,4.7e+07,2.75e+08,200,1180,0.003175,"TestWingMass",0,0.0064,52,107.453173982,40.1520152177,35.3971039133,56.8791193839,0.4,500,1.65,5,1800,0.000254,"f848f946-c509-4ef7-80b8-f9b714b2e3da",2,2,1020,1020,2752.44220343,263.006739529,1800,0.00015,1000,550,50,71057.1887213,0.0015,0.0254,3.22373876721,5e+08,1949.70416892,170.236531523,1660,4.5e+08,1,0.2
2800,3.5e+08,14.8871749264,4e+08,0.00042,1660,4.7e+07,2.75e+08,200,1180,0.003175,"TestWingMass",1,0.0064,52,493.350296027,67.6003497246,128.003850869,194.680996992,0.4,500,1.65,5,1800,0.000254,"6230b9e3-c55e-4ae2-8ffc-c2449379ea2b",2,2,1020,1020,2876.18101711,19.516710359,1800,0.00015,1000,550,50,97442.9967105,0.0015,0.0254,6.69557073624,5e+08,1621.45699109,866.552332655,1660,4.5e+08,0,0.2
