CfgID,CruiseSpeed,EReserve,GUID,MaxTakeoffMass,Range,RotorRadius,tReserve,Vehicle
TestReserveMission,76.8362342329,209.696046989,e1e55afe-2896-4f0a-babb-78fb95db65c6,8445.79882629,126558.363188,5.08929435217,3027.11824377,0.0
TestReserveMission,54.1043673623,242.064780771,ac7016aa-762e-4043-9060-9a4feb88d748,9451.78894225,65137.64824,8.64019516541,2583.9258828,0.0
TestReserveMission,72.5710418404,235.047932843,a50b4d49-246a-40d5-8919-4ec94a1edf38,4138.65035878,81120.5417261,5.51197658808,2497.80869709,1.0
TestReserveMission,43.3189210206,174.89148446,fba7d51d-6f54-4ca3-91ac-fc4dc738a874,9267.79948528,92011.6993184,7.09406388294,3504.05335014,0.0
TestReserveMission,55.0545302305,62.6852723659,eaf3096a-76b2-4512-a646-b503f8e799e2,3262.53122187,60097.2310624,3.14036974196,2471.59465735,0.0
TestReserveMission,50.8960245462,502.056278483,e8012e1c-4703-4897-953c-2f2a6f5ae516,9746.82682562,110157.53844,1.12318524421,3544.36429804,1.0
TestReserveMission,75.817169674,338.051514888,c6a15f9f-4751-4b91-8392-1d358e7307aa,7469.27994777,102699.764749,1.3378686288,2734.5713351,1.0
TestReserveMission,30.3431220559,487.099159249,122532a4-0e1b-4186-9d23-6d9f6da5ca7c,6747.21146577,29929.2086643,4.81437749848,2366.35890563,1.0
TestReserveMission,66.7504827065,173.289032435,c4be06e9-a36f-4937-9d58-8dcaddca9a88,3806.17733888,199154.275418,3.07897611508,4363.56307464,0.0
TestReserveMission,34.0833560088,52.8922008071,7993d856-00fa-4415-b0e5-5d4925261e83,125.706475669,184371.115203,2.42673207821,6789.41787408,0.0
TestReserveMission,73.3192074003,87.4169594697,767ade0f-ff6b-49bc-84f6-7a4e254a83bc,2936.35147104,38022.218216,4.26647638179,1898.58468694,0.0
TestReserveMission,35.2245744194,109.884206856,44965979-e053-499a-82ca-5912aed48e9b,619.905811961,109359.365088,5.61064006766,4484.63268585,0.0
TestReserveMission,46.5291104218,297.532840688,2cd45ab7-b40b-4f8e-a5cd-6f38ca8f32c9,9904.85117969,168158.195913,9.14212704498,4994.04278716,0.0
TestReserveMission,60.1220347747,180.064569315,b62e28d2-8a89-4bb8-8580-0fb3a4ccdb78,2874.99264769,69315.5126316,4.74024003507,2532.91361797,1.0
TestReserveMission,38.8434560765,123.240516604,ccb87c74-9d68-462a-bf7f-684c0ca7558b,2087.11020516,14641.0524514,6.52044068806,1756.92455642,0.0
TestReserveMission,50.0164951955,1810.77633898,5ac0be01-d692-442d-9441-418fb15a1e64,6244.85426173,62868.3604557,8.09616958464,2636.95253556,1.0
TestReserveMission,34.7937440982,631.734470118,1aa7985b-8ea1-4830-8550-6be7b5b4fe82,9839.77372176,138042.960964,1.48268818889,5347.46497227,1.0
TestReserveMission,31.751710401,1368.38755218,e68a124c-dadb-417f-a24b-d9de69930ffc,6056.31415396,45059.6039671,6.23544591115,2799.12367549,1.0
TestReserveMission,76.2368693041,52.9079463104,b8841b9f-a364-4249-acc4-5b718bd2e7c9,1233.20809501,47389.1122661,1.36005568953,2001.60359808,0.0
TestReserveMission,77.5855877695,3640.84368252,d86d1f4e-43f1-4b50-b86a-9e2c9e975de4,9089.74749113,112595.22916,9.28418079219,2831.23897875,1.0
TestReserveMission,61.2478817322,4881.13956597,4c906c69-1f1d-4261-9b62-64dea1318681,2181.80371963,195480.396778,8.01884187217,4571.62706121,1.0
TestReserveMission,74.8507405182,77.1910591544,badff66d-aecc-4ebe-a748-1909dd0033f8,729.327141901,45992.3148126,3.52304658663,1994.45370472,0.0
TestReserveMission,38.8348398406,11033.4091284,ab37dcc5-38b9-4eed-b815-25fd684aa14e,7126.7614892,91582.3075571,9.68829546234,3738.25119746,1.0
TestReserveMission,67.8954031819,4856.07920158,5c363cc6-ba58-4bb0-a9e5-35ccf85547cb,2015.7835735,103217.629757,8.37407557878,2900.24474293,1.0
TestReserveMission,60.246955402,39.0791819151,aec18ab4-ad6e-49a5-87dc-372c4b058249,5933.29344374,30454.643595,1.40030382405,1885.49680713,0.0
TestReserveMission,62.5653076672,1038.92229009,51014fdd-9db0-4d16-80f8-3fc46bb19c10,1872.6004534,157500.831967,7.92975751567,3897.38284106,1.0
TestReserveMission,39.3104144885,663.922109094,fc3b3b0c-9a4b-4ee9-a23a-e43da86bcc36,9309.72264207,84695.0295513,6.01636498931,3534.5188636,1.0
TestReserveMission,49.7058769309,608.837301691,28eec491-1205-466a-aaa7-5f522b390359,2758.25002039,176991.310383,5.02101802307,4940.77231329,1.0
TestReserveMission,57.4792500617,233.052034611,a6fe8694-33df-413e-ae61-baa76e540688,725.25157812,54149.7860776,5.12596542022,2322.07537537,1.0
TestReserveMission,30.235525061,1310.78516697,65294923-1dcc-473e-8b66-ee317a4c3088,7832.8084125,98923.3228279,7.16072964789,4651.75806037,1.0
TestReserveMission,50.4682712454,58.0277161288,7ad27009-3924-444b-ab7e-f5ea6473202a,2055.58771615,101303.931602,2.06134474181,3387.27960562,0.0
TestReserveMission,59.6860030345,58.4474792295,99a2e270-0d4d-49cc-bad5-bb03d98f7747,3630.76292975,59012.8111572,2.49898374525,2368.72110976,0.0
TestReserveMission,75.1930534968,209.497101484,67f089ba-02a1-4f55-9e16-2c3cd00093dd,5032.04049486,143553.152508,2.27309516353,3289.12784935,1.0
TestReserveMission,67.6906249881,174.390539586,1ddc7bf0-2d9d-49c5-8d44-98b209489123,5296.60804068,96385.2672237,2.63175597684,2803.90866151,1.0
TestReserveMission,31.5938801897,134.362741784,58f75524-089c-4fd0-ba56-4a1a4ecfef8c,9478.27817202,94402.7717087,6.31009034896,4368.0081567,0.0
TestReserveMission,60.7726707801,150.2439741,dda6c288-0d54-4a69-ab9d-8bb9f94384a5,7856.29164194,172910.651258,3.18746698097,4225.20408661,0.0
