BatteryMass,canard_mass,CfgID,ConstraintsTest,CostPerFlight,CruiseSpeed,ENominal,EReserve,fuselage_mass,GUID,hops,hops,loiterTime,loiterTime,MaxTakeoffMass,MotorMass,payload_mass,prop_mass,Range,RotorRadius,tNominal,toolCostPerVehicle,tReserve,Vehicle,wing_mass,wire_mass
923.746139708,200.0,TestConstraints,0.0,176.083527496,65.5720030783,93.7558073276,116.917219339,500.0,fb06978f-3174-4e4b-8f6e-f67e0fe79682,2.0,2.0,1020.0,1020.0,3305.580303,40.4579340425,550.0,50.0,149022.58158,1.77539285105,2452.65562411,2000.0,3652.65562411,1.0,200.0,30.0
570.866888839,200.0,TestConstraints,0.0,487.02815724,68.9513341426,135.026612965,231.981457872,500.0,6f2b3ac5-bdf7-42da-be0a-0170b1cd6e12,2.0,2.0,1020.0,1020.0,5519.20075184,150.295419938,550.0,50.0,58740.2805158,8.19303557431,1031.90926682,2000.0,2231.90926682,0.0,200.0,30.0
907.310446772,200.0,TestConstraints,0.0,702.45165206,44.7637453902,79.0881520011,110.82839439,500.0,96c708bf-8da8-4c93-af89-d98ccc2773fd,2.0,2.0,1020.0,1020.0,5956.4782653,790.320265641,550.0,50.0,164481.410913,4.16646647975,3854.43361764,2000.0,5054.43361764,0.0,200.0,30.0
11.6457110683,200.0,TestConstraints,0.0,1750.65257623,45.0472450509,168.284245875,294.058513347,500.0,a8316a7f-a139-4ba8-bd87-276c04b4d938,2.0,2.0,1020.0,1020.0,7429.53440195,348.321855688,550.0,50.0,145242.336729,9.4064448161,3404.22240394,2000.0,4604.22240394,0.0,200.0,30.0
876.824682885,200.0,TestConstraints,0.0,163.324080621,46.6774763876,18.8632574789,28.6681956203,500.0,d86ab949-1197-4a56-b008-829625b79210,2.0,2.0,1020.0,1020.0,2394.27284657,819.894103888,550.0,50.0,48521.7198071,0.998209217397,1219.51034979,2000.0,2419.51034979,0.0,200.0,30.0
464.75458494,200.0,TestConstraints,0.0,417.141073466,43.8115214659,1307.26098877,1743.3202706,500.0,9f952f62-796a-49a0-b7ce-04700408917e,2.0,2.0,1020.0,1020.0,8535.80764235,303.628459547,550.0,50.0,144519.517889,5.97881986538,3478.6646675,2000.0,4678.6646675,1.0,200.0,30.0
976.719537148,200.0,TestConstraints,0.0,167.018432444,62.4627454796,50.9036691277,74.8631548033,500.0,0f98cde9-1f99-4fff-8a74-727f22766b99,2.0,2.0,1020.0,1020.0,1204.34024049,796.398416954,550.0,50.0,89018.0520153,1.48829925807,1605.13831776,2000.0,2805.13831776,1.0,200.0,30.0
26.1417858858,200.0,TestConstraints,0.0,75.1096446275,78.4583153262,219.703332207,489.754975432,500.0,13f5de30-1a1b-463f-ba3a-2205bf17590d,2.0,2.0,1020.0,1020.0,1737.89009318,102.389493622,550.0,50.0,44685.4472359,6.33662419888,749.543802338,2000.0,1949.54380234,1.0,200.0,30.0
289.617687165,200.0,TestConstraints,0.0,195.479329775,32.6946137955,67.1200985509,90.7976641514,500.0,2b856510-5193-464d-87a2-ed004c3ec5f6,2.0,2.0,1020.0,1020.0,4145.68676057,254.671355927,550.0,50.0,118021.037145,0.315073725897,3789.80061987,2000.0,4989.80061987,0.0,200.0,30.0
537.066531157,200.0,TestConstraints,0.0,354.281986783,71.9177334174,105.089765674,146.391270715,500.0,412cd8ea-a6a3-4bb5-a0e2-e2b6315bf805,2.0,2.0,1020.0,1020.0,1996.69645556,845.520766098,550.0,50.0,90911.2667403,5.08401520666,1444.10083328,2000.0,2644.10083328,0.0,200.0,30.0
688.610324441,200.0,TestConstraints,0.0,880.673432201,31.0396106306,3250.18749126,3929.09189635,500.0,3598bc57-3b41-42f5-b2b8-d543bfa0b37e,2.0,2.0,1020.0,1020.0,119.369110349,727.400212008,550.0,50.0,179303.216125,6.77320427678,5956.59360032,2000.0,7156.59360032,1.0,200.0,30.0
420.444890383,200.0,TestConstraints,0.0,1640.19268632,61.6786897169,238.459223651,366.999643001,500.0,e99fb889-93da-4a39-a45f-b9e2a7dc06c1,2.0,2.0,1020.0,1020.0,8791.31185001,28.7005190127,550.0,50.0,176984.425802,9.50008304675,3049.45826208,2000.0,4249.45826208,0.0,200.0,30.0
543.368583444,200.0,TestConstraints,0.0,495.771101171,33.4467184105,43.6152337405,75.6846967683,500.0,5f180e16-5027-416a-8cd5-d8b1762483d1,2.0,2.0,1020.0,1020.0,7981.16575907,438.158501704,550.0,50.0,94805.1989942,4.09544472749,3014.51422141,2000.0,4214.51422141,0.0,200.0,30.0
641.043887445,200.0,TestConstraints,0.0,967.94089723,67.3140383254,206.232585518,274.850843139,500.0,e7522c79-16a3-4186-abea-735468278321,2.0,2.0,1020.0,1020.0,6143.38138569,28.1739909965,550.0,50.0,193662.800576,6.74592535654,3057.00463966,2000.0,4257.00463966,0.0,200.0,30.0
410.184207898,200.0,TestConstraints,0.0,102.377014462,42.8973596586,16.776659055,36.5229612178,500.0,319d1bfa-6f1c-41be-ac27-1857ce973173,2.0,2.0,1020.0,1020.0,8132.71258166,895.314509448,550.0,50.0,17940.749314,2.45543877406,598.225024961,2000.0,1798.22502496,0.0,200.0,30.0
160.04045494,200.0,TestConstraints,0.0,1113.55987954,32.0061586867,73.4426334547,125.736756073,500.0,25bd2f9f-b329-4669-901e-571c373a09df,2.0,2.0,1020.0,1020.0,8692.79294815,158.222166727,550.0,50.0,154226.762536,5.68066611222,4998.65893518,2000.0,6198.65893518,0.0,200.0,30.0
720.426578621,200.0,TestConstraints,0.0,382.622897529,53.6143645066,68.8820197036,103.007355146,500.0,ed8c7b74-a724-4a8a-9c8c-2a0cfadfa9e8,2.0,2.0,1020.0,1020.0,2941.96283866,90.3695884377,550.0,50.0,94500.9585974,4.49168691064,1942.60521722,2000.0,3142.60521722,0.0,200.0,30.0
995.274676368,200.0,TestConstraints,0.0,283.089564632,32.8444964563,22.9563049472,40.8127566219,500.0,a6d141e5-c4b6-49ec-9ead-e3d3ae11fd8b,2.0,2.0,1020.0,1020.0,6901.23391655,652.875669557,550.0,50.0,62638.0547057,2.29216576826,2087.10960629,2000.0,3287.10960629,0.0,200.0,30.0
587.355586369,200.0,TestConstraints,0.0,168.018182946,46.7196412905,214.471717802,451.115941115,500.0,8258191a-6d62-41da-8f2f-673502022b41,2.0,2.0,1020.0,1020.0,8672.28848757,754.60428982,550.0,50.0,43488.0854723,6.83288555216,1110.83089405,2000.0,2310.83089405,1.0,200.0,30.0
960.668847714,200.0,TestConstraints,0.0,234.097093931,55.0451027666,89.9002899333,116.712346301,500.0,7cd4c303-902c-48cd-a18a-3e8fda864cd5,2.0,2.0,1020.0,1020.0,5215.20209929,460.096824508,550.0,50.0,128346.372499,0.389950882262,2511.65833196,2000.0,3711.65833196,0.0,200.0,30.0
888.163953948,200.0,TestConstraints,0.0,398.520954576,38.5780188117,39.6617434799,62.9389274887,500.0,9ca76165-9df7-41a7-8c2f-a811eb4a7f66,2.0,2.0,1020.0,1020.0,3575.05397522,9.72460619755,550.0,50.0,100223.474337,3.41759634184,2777.94249222,2000.0,3977.94249222,0.0,200.0,30.0
854.587037071,200.0,TestConstraints,0.0,394.111542812,49.1736292737,662.74852442,839.668075565,500.0,f196ba4f-1e31-4569-8526-2066b8048d5d,2.0,2.0,1020.0,1020.0,4941.50388819,730.450058044,550.0,50.0,187810.107606,4.6735029034,3999.32573169,2000.0,5199.32573169,1.0,200.0,30.0
241.444612032,200.0,TestConstraints,0.0,143.755036174,31.0861126898,20.5238344417,41.0251915357,500.0,eb20a444-1f78-4ad5-a66c-bbaa425ecd30,2.0,2.0,1020.0,1020.0,9807.82477168,683.426703898,550.0,50.0,38558.8615098,2.08890641866,1420.38865504,2000.0,2620.38865504,0.0,200.0,30.0
191.241981132,200.0,TestConstraints,0.0,465.541747595,52.6579420211,106.142013912,131.862851292,500.0,6a1011b8-df22-4db4-842f-28bd7a7c6292,2.0,2.0,1020.0,1020.0,5883.03908288,119.715422358,550.0,50.0,191569.475363,3.55824235294,3817.99776463,2000.0,5017.99776463,0.0,200.0,30.0
308.403667447,200.0,TestConstraints,0.0,473.153674676,73.0262805515,158.894033015,201.191920677,500.0,cbd7e64e-d54b-4bcb-9b89-b9896ec89d06,2.0,2.0,1020.0,1020.0,4680.76045016,613.312923712,550.0,50.0,145184.559173,5.08926075914,2168.1138417,2000.0,3368.1138417,0.0,200.0,30.0
487.827246967,200.0,TestConstraints,0.0,250.765099221,55.7683117185,510.58325985,790.746068696,500.0,1ef2893a-2c5c-4c4e-9b31-7868997e3fdb,2.0,2.0,1020.0,1020.0,5396.104074,853.528229578,550.0,50.0,93710.4685998,6.97752166272,1860.35333529,2000.0,3060.35333529,1.0,200.0,30.0
26.1136546532,200.0,TestConstraints,0.0,32.9029623629,38.9412544275,28.1992831308,112.869998435,500.0,62083209-7723-451f-9718-7177c596a3bb,2.0,2.0,1020.0,1020.0,6463.66084688,264.279577389,550.0,50.0,11553.5056269,3.07625671908,476.690638162,2000.0,1676.69063816,1.0,200.0,30.0
850.355293746,200.0,TestConstraints,0.0,98.0440699473,79.027307684,22.9321019699,75.8334447187,500.0,f2ae9367-bafd-4c5e-afca-c12863ed969b,2.0,2.0,1020.0,1020.0,3031.10832541,199.816250697,550.0,50.0,15272.8070415,3.55009595757,373.259867874,2000.0,1573.25986787,1.0,200.0,30.0
955.692156834,200.0,TestConstraints,0.0,1869.79560494,58.0672768295,230.951493348,368.020468746,500.0,a1735bc9-4510-4fb7-b202-d23f41bdf23c,2.0,2.0,1020.0,1020.0,9341.04889376,574.937565455,550.0,50.0,170660.538478,9.8272606143,3119.01398166,2000.0,4319.01398166,0.0,200.0,30.0
249.891417431,200.0,TestConstraints,0.0,277.504831941,39.4714445997,624.393992034,908.401356331,500.0,15ab9530-6b1a-4326-94a2-3deddd32c93a,2.0,2.0,1020.0,1020.0,3333.19728673,14.5465399138,550.0,50.0,101531.794033,7.94626707571,2752.2847254,2000.0,3952.2847254,1.0,200.0,30.0
278.408033834,200.0,TestConstraints,0.0,173.724554876,61.9955872352,81.1542155419,89.579859513,500.0,5b9574ee-5c5c-48b1-a956-c8608a8dc6f7,2.0,2.0,1020.0,1020.0,476.710306287,469.802828261,550.0,50.0,142610.10641,1.14307617633,2480.3267292,2000.0,3680.3267292,0.0,200.0,30.0
